S.no.,Wave,AGE,NATIONALITY,GENDER,Preferred brand,Love_index,Fav flavor,wide variety,Outdoor seating,new products,VFM,cust service,healthy foods,branches across,drivethru,packaging,delivery,opens 24/7,calm place,Decorof the shopcor ,comfortable seating,app for early order ,variety of milk,saudi company,International brand,consistent,trustworthy,spacious shops,maket leader,recommended brand,quality of beans,customozition,No VAT,Brand Functionality,Innovation ,Uniqueness / Different,Price,Worth,Physical Availability,Mental Availability
634Ap18,5,18,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,0,7,7
e3GMZ5i,5,41,Saudis,Male,Starbucks,9,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,8,4,5,10,1,6,6
fWLIK5N,5,44,Saudis,Female,Half Million,7,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,9,10,9,9,2,6,6
N0WMITH,5,25,Saudis,Male,Other 1 from Q018,9,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,10,9,8,3,1,2,3
RKjr47z,5,20,Saudis,Female,Half Million,8,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,9,8,7,8,1,5,4
ovp4im6,5,24,Saudis,Male,Dunkin Coffee,10,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,9,7,10,9,0,6,7
cEJ9nMM,5,40,Philippines,Female,Starbucks,10,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,10,10,9,9,2,6,5
yKPZbFu,5,24,Saudis,Female,Starbucks,6,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,5,6,6,5,2,6,7
z0799Nw,5,38,Egyptian,Female,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tgQ2wPL,5,37,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,10,10,10,8,2,6,7
ymLtDEX,5,38,Saudis,Female,Dr  Caf,4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,3,5,8,1,5,4
qhZ2O5r,5,38,Saudis,Male,Starbucks,9,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,7,8,8,4,1,7,6
u0k9Kp2,5,42,Saudis,Female,Half Million,9,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,9,8,9,3,1,7,5
eqNmvT2,5,42,Syrian,Male,Costa,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,6,5,5,4,1,5,5
KuVww9R,5,42,Palestinian,Male,Dunkin Coffee,9,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,9,99,9,5,1,6,3
0LYxNwu,5,40,Saudis,Female,Kyan,10,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,10,10,10,8,0,7,6
pMH659H,5,36,Saudis,Male,Starbucks,9,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,10,10,10,10,0,6,7
2kNdfs5,5,36,Syrian,Female,Starbucks,10,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,10,10,10,2,1,4,6
JvZ3n0Q,5,21,Saudis,Female,Other 1 from Q018,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,10,5,1,5,7
4EdppGx,5,36,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,1,7,7
8hsHPts,5,37,Palestinian,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,10,10,10,9,1,7,7
xHZXmnY,5,41,Saudis,Female,Kyan,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,5,5,5,3,1,4,4
rIpdTEJ,5,21,Saudis,Female,Starbucks,9,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,8,9,8,6,0,6,4
UMWfrEg,5,23,Saudis,Female,Dunkin Coffee,5,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,6,7,9,5,0,4,5
71H0kAx,5,22,Saudis,Male,Starbucks,10,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,8,10,10,10,1,7,6
A48x05q,5,21,Palestinian,Male,Dunkin Coffee,10,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,10,10,10,6,1,4,7
393Mzew,5,44,Saudis,Male,Half Million,10,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,9,9,9,8,1,5,6
qbZt87V,5,57,Egyptian,Male,Starbucks,8,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,8,7,8,9,0,6,5
TsxxdQ1,5,55,Syrian,Female,Half Million,10,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,9,9,9,9,1,6,6
piZ6DdM,5,41,Saudis,Female,Dunkin Coffee,7,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,5,5,5,6,0,4,4
P3x6MPu,5,41,Saudis,Male,Dunkin Coffee,99,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,10,10,10,2,1,7,7
3V3QfHx,5,38,Saudis,Female,Half Million,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,10,10,10,8,1,7,7
md8xZpJ,5,18,Sudanese,Female,Starbucks,10,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,10,10,10,8,2,6,7
wkwP28y,5,32,Saudis,Male,Half Million,3,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7,9,4,6,0,6,6
PiE70iA,5,20,Saudis,Male,Barns,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,10,9,8,1,0,7,4
JStnueZ,5,18,Saudis,Female,Starbucks,6,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,8,8,5,4,1,5,5
Ajc6w0X,5,18,Saudis,Female,Dunkin Coffee,10,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,10,10,7,5,1,7,7
zlO04DF,5,22,Sudanese,Male,Other from Q017,10,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,10,5,6,5,1,5,1
ZYdEstj,5,19,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,8,9,0,10,0,4,5
CajD1AT,5,20,Saudis,Female,Half Million,6,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,6,5,6,5,1,5,4
eCV2BgX,5,16,Saudis,Male,Barns,8,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,9,5,5,0,1,7,4
PkpzFsF,5,19,Saudis,Female,Tim Hortons,7,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,8,7,9,6,1,5,5
YgivDCt,5,20,Saudis,Male,Dunkin Coffee,10,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,10,10,10,8,2,7,4
VzCuFaK,5,20,Saudis,Female,Tim Hortons,3,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,10,9,10,7,1,6,5
E582xcW,5,20,Saudis,Male,Dunkin Coffee,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,8,8,7,4,0,3,6
hunzHtY,5,20,Saudis,Male,OverDose,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,10,10,10,4,1,6,7
4gKv3yr,5,19,Saudis,Female,Starbucks,10,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,9,10,9,6,1,7,6
g95aoHC,5,30,Egyptian,Female,Tim Hortons,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,7,9,0,7,6
jDr7e7U,5,50,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,10,10,10,10,2,7,7
ZA4xnnj,5,17,Saudis,Male,Other from Q017,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,7,1,1,5,3
DjTMl1l,5,18,Sudanese,Male,Dunkin Coffee,8,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,8,5,4,10,1,6,7
YNWVgUn,5,29,Saudis,Female,Dunkin Coffee,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,1,5,4
yMPhq9m,5,29,Pakistani,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,10,7,9,10,1,6,7
g8wWXIT,5,18,Saudis,Male,Dunkin Coffee,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,9,5,1,5,6
JyQH6D6,5,18,Saudis,Male,Starbucks,10,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,10,10,10,10,0,7,6
R0dHHBo,5,18,Palestinian,Male,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HxsNZYB,5,25,Saudis,Female,Half Million,10,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,10,9,5,1,5,4
ZwRYowY,5,35,Saudis,Female,Tim Hortons,10,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,10,8,10,7,2,6,7
CBx36IG,5,38,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,6,2,7,7
XwrnDSF,5,29,Saudis,Female,Half Million,10,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,9,10,10,7,0,5,4
vTK6OMr,5,30,Saudis,Male,Dose caf,6,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,10,9,6,5,1,5,4
NaMVzQC,5,23,Saudis,Female,Dunkin Coffee,10,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,0,1,7,7
eKy1ohl,5,25,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,9,1,7,7
LQVREcM,5,24,Saudis,Male,Starbucks,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,10,9,9,5,1,7,5
IuMZ7Sm,5,30,Saudis,Female,Starbucks,10,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,8,9,9,10,2,6,6
wLfoj0M,5,39,Saudis,Male,Barns,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,10,10,10,10,1,7,7
mR8bE2F,5,32,Saudis,Female,Starbucks,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,9,2,7,7
skZWkrr,5,46,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,8,1,6,6
eyUztL9,5,37,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,9,2,7,5
XD40hGe,5,50,Saudis,Male,Other 1 from Q018,5,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,9,4,4,0,4,4
sPZNTP1,5,51,Saudis,Female,Starbucks,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,9,2,4,4
pGszIRz,5,47,Saudis,Male,Starbucks,8,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,9,8,8,7,1,6,6
wMrVJm2,5,22,Saudis,Female,Mc Cafe,6,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,8,5,9,3,2,6,5
awq7T5L,5,40,Saudis,Male,Starbucks,10,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,10,10,10,10,1,7,7
qhrocqW,5,34,Saudis,Male,Starbucks,4,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,3,0,4,5
jiN39Wg,5,26,Saudis,Female,Kyan,10,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,10,10,10,1,2,7,7
OrJkmt8,5,38,Saudis,Male,Dunkin Coffee,7,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,7,7,7,8,1,6,6
w3vDi62,5,36,Saudis,Male,Barns,10,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,10,10,10,0,1,7,7
6sJjn8a,5,25,Syrian,Female,Starbucks,10,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,10,10,10,5,1,7,7
r7mcK6P,5,31,Saudis,Male,Tim Hortons,10,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,8,10,10,3,2,6,6
tbjjv3T,5,25,Saudis,Male,Starbucks,10,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,10,5,10,10,1,4,5
HoVSgOA,5,27,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,10,3,3,3,2,5,7
lzVLs0X,5,43,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,0,1,2,7
K0UspPm,5,36,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,10,4,1,7,7
9ygAJrB,5,30,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,10,10,9,5,1,7,7
zSo1Oyy,5,41,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,5,2,7,6
B8lmgaO,5,24,Saudis,Female,Kyan,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,6,8,8,1,3,5
7nYe1Y6,5,28,Saudis,Female,Starbucks,10,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,10,9,9,10,1,6,7
FvvQant,5,25,Egyptian,Male,Mc Cafe,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,10,10,10,5,2,7,7
QHCaMce,5,22,Saudis,Male,Dunkin Coffee,7,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,5,5,4,4,1,4,6
mfiFUmw,5,22,Saudis,Female,Dunkin Coffee,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,5,2,7,7
KVnPCor,5,27,Sudanese,Female,Dunkin Coffee,5,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,6,6,5,1,5,5
TlWTS4V,5,23,Saudis,Male,Dunkin Coffee,10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,10,10,7,0,1,6,5
ufhBEIC,5,25,Sudanese,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,10,10,10,10,1,7,5
EOFUGu6,5,25,Saudis,Female,Starbucks,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,7,6,1,4,4
zVMZKrQ,5,23,Saudis,Male,Starbucks,4,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,9,9,6,1,5,5
WR5UfpS,5,48,Saudis,Female,Half Million,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,9,8,7,1,7,6
XNrVO4w,5,24,Saudis,Female,Camel Step,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,5,1,5,4
2ya0Njl,5,23,Saudis,Male,Starbucks,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,4,3,0,3,1,3,6
O1zS6dY,5,43,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,10,7,10,1,6,7
rFJ9w8y,5,24,Saudis,Female,Half Million,8,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,8,6,0,5,6
yVdh48t,5,37,Sudanese,Female,Dr  Caf,6,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,7,6,7,6,0,6,6
Ep6VMZC,5,33,Saudis,Male,Starbucks,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,8,7,10,6,1,5,4
Ieehv8P,5,35,Saudis,Female,Barns,10,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,10,99,1,9,1,7,7
YEiXIB6,5,33,Saudis,Male,Dunkin Coffee,10,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,10,10,10,6,1,7,7
NOgQb11,5,43,Syrian,Male,Starbucks,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,9,10,3,4,1,5,5
GDShytO,5,38,Syrian,Female,Dunkin Coffee,10,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,4,1,7,3
Dg9iSn9,5,26,Saudis,Female,Half Million,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,9,8,9,1,5,4
oP72uix,5,52,Syrian,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,9,1,7,7
vbyvqsu,5,28,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,10,7,8,1,5,4
K5BMGDV,5,38,Sudanese,Female,Mc Cafe,10,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,5,1,7,5
CKpHPXi,5,22,Saudis,Female,Dunkin Coffee,10,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,10,10,9,3,2,7,7
ZR550wq,5,39,Palestinian,Male,Other from Q017,10,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,9,9,9,7,1,2,4
jBd2KaB,5,28,Saudis,Female,Dunkin Coffee,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,6,3,1,2,6,2
Sl40wV2,5,31,Saudis,Male,Dunkin Coffee,10,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,8,10,8,5,1,7,7
UPgPdpm,5,34,Sudanese,Male,Other from Q017,10,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,10,10,7,5,1,7,7
LoBESMh,5,28,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,10,10,10,8,1,7,7
jZ47nGr,5,25,Saudis,Male,Starbucks,10,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,10,10,10,10,1,7,7
FOw0mzv,5,25,Saudis,Female,Starbucks,10,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9,9,10,9,0,5,6
OHtMzzM,5,35,Saudis,Female,Tim Hortons,10,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,10,10,10,9,0,4,4
A4xkwed,5,28,Saudis,Female,Starbucks,8,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,7,9,8,9,1,5,5
PUGex50,5,46,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,10,10,10,5,1,7,7
Ms6sTWM,5,25,Syrian,Male,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767tuG3,5,21,Saudis,Female,Half Million,5,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,8,5,8,0,1,4,3
lPaix26,5,30,Saudis,Female,Other from Q017,5,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,5,5,0,5,1,7,1
GC48GsB,5,33,Sudanese,Male,Dunkin Coffee,10,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,10,10,10,7,1,7,7
0NF7ith,5,25,Saudis,Female,Other 2 from Q018,7,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,6,7,7,8,9,5,3
VrVA01J,5,30,Saudis,Male,Dunkin Coffee,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,1,2,5,7
Vg1h99f,5,25,Egyptian,Female,Starbucks,9,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,9,5,5,9,1,5,4
ALPpOKq,5,25,Saudis,Male,Starbucks,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,9,3,9,6,1,6,5
naxUXre,5,29,Sudanese,Female,Mc Cafe,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,9,8,8,8,1,5,5
qFYf3TZ,5,34,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,10,8,8,1,6,5
n4vwI3e,5,23,Saudis,Male,Starbucks,10,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,10,10,10,8,1,6,7
pfOLDYX,5,30,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,1,7,7
XHJJK5F,5,32,Saudis,Male,Starbucks,10,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,10,10,7,1,6,1
1LP1xOs,5,34,Saudis,Male,Dr  Caf,9,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,9,9,7,9,1,6,6
CMQw6Ns,5,22,Saudis,Female,8oz,4,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,5,5,5,5,1,5,4
Gg6wYtL,5,41,Saudis,Male,Starbucks,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,0,2,7,7
b3fyMfS,5,31,Saudis,Female,OverDose,10,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,10,10,10,1,0,7,7
RQWKhSN,5,38,Sudanese,Female,Mc Cafe,10,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,10,10,10,0,1,5,5
YGpC7TB,5,24,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,10,10,4,0,7,6
USQPJGo,5,38,Saudis,Female,Dr  Caf,5,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,5,7,5,5,1,5,4
7bupK5o,5,30,Saudis,Male,Starbucks,8,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,10,10,10,10,2,7,6
